,id,content,category
82,83,A mechanical thrombectomy is a 'game-changing' treatment which uses a stent to remove large blood clots from the brain.,Health
83,84,"Dr Anne-Marie Imafidon (pictured), a former child prodigy who hosted Countdown earlier this year, says Britons will 'wake up on the right side of the bed' if they follow her 'scientific formula'.",Health
84,85,"A study of more than 70,000 elderly Britons found that those who ate the most ultra-processed junk food were 43 per cent more likely to develop dementia than those who ate the least.",Health
85,86,"A study of half a million Britons found that those who 'frequently' hoover, do the ironing and take out the rubbish are a fifth less likely to develop dementia compared to those who do it the least.",Health
86,87,"To start the day right, get out of bed at 7.12am and exercise for exactly 21 minutes. To feel chirpy, rather than grumpy, spend ten minutes in the shower and then take 18 minutes over breakfast",Health
87,88,Fierce debate about the origins of the Covid pandemic was reignited today after two new studies claimed to trace the outbreak back to a notorious animal slaughter market in Wuhan.,Health
88,89,Bacteria that is responsible for the deadly infection meliodosis has been detected in the U.S. for the first time. The CDC revealed that it was detected in water and soil in Mississippi.,Health
89,90,People who wear fitness tracking devices like an Apple watch or Fitbit get more steps per day and are more likely to lose weight.,Health
90,91,"A man nicknamed the 'City of Hope' HIV patients has been functionally cured of his HIV and cancer. He received a rare, dangerous and experimental stem cell treatment.",Health
91,92,"Woman has now given birth to her child, who does not appear to have caught the rash-causing virus from the mother. Health officials said both were 'doing well'.",Health
92,93,"EXCLUSIVE: When Britain was staring down the barrel of Omicron and yet another round of economically-devastating curbs, Professor Paul Hunter saw no reason to hit the panic button.",Health
93,94,"Lisa Wilson, from Hornchurch in Essex, described on Lorraine today how her son Tom, who died from a brain haemorrhage, signed up to be an organ donor at 18-years-old.",Health
94,95,A study by the University of Surrey found people who took cocoa supplements had lower blood pressure and stretchier blood vessels within three hours.,Health
95,96,Toxic airborne particles from cars and fossil fuels have long been associated with rapidly increasing rates of the disease in the UK and developed world. Now the link's been confirmed.,Health
96,97,"A new guideline proposes overhauls of cancer screening, childbirth, and fertility treatments to make them more inclusive for transgender and non-binary patients.",Health
97,98,In a move to free up GP surgery phone lines from November 1 NHS England will switch on automatic access to GP records and test results via the NHS app.,Health
98,99,"Researchers from Deakin University revealed how brands not only use their own TikTok accounts for promotional activity, but also encourage viewers to market their products for them.",Health
99,100,"Research led by the University of Bristol found those born from in vitro fertilisation (IVF) tend to start life shorter, thinner and lighter than their natural counterparts.",Health
100,101,Professor Susan Michie - a longstanding Communist Party Britain member and Labour donor - was appointed chair of the WHO's behavioural advisory group on Monday.,Health
101,102,Oxford University scientists say drinking more than five glasses of wine a week speeds up the body's biological clock by damaging tiny structures that protect out DNA.,Health
102,103,"A study from the University of Toyama has found that owning a cat while pregnant increases the risk of postpartum depression, while dogs reduce the risk of that and other mental health issues.",Health
103,104,Functioning on a measly four hours of sleep a night used to be a badge of honour for high-powered CEOs. But a wealth of studies in recent years have highlighted the danger of not enough kip.,Health
104,105,"Left untreated, aortic stenosis may cause potentially fatal heart failure - where the heart, unable to pump blood efficiently, wears out from the strain of keeping the circulation going.",Health
105,106,"Heavier drinking habits picked up during the pandemic - and not left behind - could cause an extra 25,000 deaths and cost the NHS £5.2billion over the next 20 years, scientists have warned",Health
106,107,"Charlotte Brighton, 36, a nail technician, lives in Gosport, Hants. She says: When I was diagnosed with depression, I was told I had to go on an antidepressant - there was no other option'.",Health
107,108,"DR MARTIN SCURR: Treating spinal pain can be complicated, which is why we now have so-called iPASS clinics, dedicated to the management of chronic spinal pain.",Health
108,109,"Age-related loss of the Y-chromosome - the part of human DNA that is unique to males - raises men's risk of potentially life-threatening heart problems as they get older, new research suggests.",Health
109,110,STEPHEN SMITH: We need to talk about 'our' NHS. It is quite clear it is at breaking point and that radical reform is needed to ensure its survival. And yet anyone who dares say so risks provoking hysteria.,Health
110,111,You may have taught your dog to sit or tutored your cat to respond to their name. But this pales into insignificance when compared with some of the skills other animals are learning.,Health
111,112,"DR MEGAN ROSSI: Who doesn't need a holiday, right? But in the excitement to get away from it all, sometimes we can forget to take good care of ourselves - including our gut.",Health
112,113,"Cooler weather is here for a few days, but with experts saying there may be another heatwave this week, it's worth investing in something that makes it easier to sleep.",Health
113,114,NHS leaders have warned a lack of accountability means they are presiding over a 'failing NHS' as a report shows the depths of a health staffing crisis that Jeremy Hunt has admitted he is partly to blame for.,Health
114,115,"It's no secret that excess bodyfat puts you at a higher risk of health problems. But evidence is beginning to mount that not all fat is created equal, and what counts is where you store that fat.",Health
115,116,US researchers found that those who do at least five hours of moderate activity every week face a 31 per cent reduced risk of dying early than those who do none.,Health
116,117,"Chinese researchers, who examined the daytime sleeping habits of 60,000 Britons, found that those who 'usually' nap are a tenth more likely to develop high blood pressure.",Health
117,118,Experts are warning that online telemedicine weight loss clinics are predatory and over-prescribing supplements without addressing deeper causes of obesity and other health problems.,Health
118,119,"The Biden Administration is planning on declaring a public health emergency regarding the nation's surging monkeypox outbreak, according to reports on Thursday.",Health
119,120,Experts warned in the Journal of the American Heart Association that social isolation and loneliness can raise a person's risk of heart disease and stroke 30%.,Health
120,121,"The woman from Narita, Japan, saw the pinpoint dot-like rash spread from her arms and legs to her trunk, palms and soles of her feet. Testing revealed she had Japanese spotted fever.",Health
121,122,"Health officials said three patients were still on wards, with one on a ventilator. A cooling tower atop Embassy Suites by Hilton in Napa, California, was found to be contaminated.",Health
122,123,"A team British, American and German scientist have developed a new type of diagnostic test for cancers and heart disease using synthetic enzymes that could one day be carried out in a GP's surgery.",Health
123,124,Oatly brand oat milk is among the companies included in a massive recall of products manufactured by Lyons Magnus after reported bacterial contamination.,Health
124,125,Testing revealed the patient in his 20s had been infected with the same strain that was detected in wastewater in London and Jerusalem in June.,Health
125,126,Dr Scott Gottlieb pointed out that unlike with Covid both vaccines and tests were already available against the disease. But these were not deployed quickly.,Health
126,127,"The first ever HIV-positive heart transplant was performed in the Bronx, New York, during spring. The unnamed patient is in her 60s and also received a new kidney from the same donor.",Health
127,128,"It is likely that the county would have seen a rebellion on the matter, with Beverley Hills, Pasadena, El Segundo and Long Beach all having said they would not have enforced the rule.",Health
128,129,"The centers are based in Brooklyn, Bronx and the Queens and began rolling out doses this Sunday. They will also offer them over the next two Sundays.",Health
129,130,"U.S. parents of children aged six months to five years old are not planning on getting their child the newly approved shots, a new survey finds.",Health
130,131,"Jakob Kamil Guziak, from Alberta in Canada, was diagnosed with a condition that robs him of a functioning immune system. Treatments have been developed, but are hard to purchase.",Health
131,132,"Leo Vauclare, 6, is suffering from the rare genetic condition INAD - which has no available treatments or cures. It has been described as a combination of Alzheimer's and Parkinson's.",Health
132,133,The individual from Missouri - who was not identified - died about a week after being admitted to intensive care. It is believed they caught the amoeba at the Lake of Three Fires.,Health
133,134,The number of people losing their smell because of a COVID-19 infection is starting to rise again. An experts says people who are dealing with a loss of smell use household goods to retrain.,Health
134,135,"America has detected 3,487 monkeypox cases to date, behind only Spain with 3,596 infections. But cases are rising quicker in the U.S., suggesting it will soon overtake Spain.",Health
135,136,"Doctors are failing to spot the signs of painful urinary tract infections in children, putting them at risk of kidney and bladder damage, experts warn.",Health
136,137,"Mike Kocsis, who has been self-injecting the hormone for 26 years. The 48-year-old from London is so passionate about its benefits that he has set up a clinic offering it to other men.",Health
137,138,"UK scientists pinpointed a usually-harmless virus as being the main culprit for the unusual liver illness, which has sickened 200 youngsters in the UK and left a dozen needing transplants.",Health
138,139,"More than 21% of children between the ages of two and 17 years old in the US are obese, a new study finds. Those aged 12 to 17 years old were the most at risk, with one-in-four being dangerously overweight.",Health
139,140,Researchers at Georgia State University found when the price of e-cigarettes was raised by $1 about 3.7 percent of adults in their early 20s shifted to smoking.,Health
140,141,"Omicron sub-variant BA.5, the highly infectious Covid strain behind a recent surge in cases in the UK now accounts for 80 per cent of all cases in England, the latest data shows.",Health
141,142,"Etta Shaheen, 41, from Las Vegas in Nevada, was rushed to hospital in early 2020 after she collapsed while doing the laundry and started vomiting.",Health
142,143,"Covid deaths in the U.S. have plummeted over the past week - falling 16% to 443 per day after surging at the start of the month. Daily infections are dropping as well, falling 15 over the past week.",Health
143,144,"There were 5,450 patients in hospital with Covid on Monday, official figures show, eclipsing the previous record of 5,390 during the first Omicron wave in January.",Health
144,145,"Professor Rehan Haidry, a of University College London, who offers the procedure, said: 'If we pick up oesophageal cancer early, we can treat it with minimally invasive surgery.'",Health
145,146,"The Trucheck test, which highlights cancer cells circulating in the blood, correctly identifies 92 per cent of breast cancers - around five percentage points higher than mammography.",Health
146,147,"Professor Joanna Moncrieff, of University College London, pictured, led the team of researchers who have disproved a link between low serotonin levels and depression.",Health
147,148,"Nine months ago Alice Smellie contracted Covid after one of her three children brought it back from school. Unlike the 14, 16 and 17 year old, who recovered immediately, Alice got Long Covid.",Health
148,149,Women over 35 who are planning to have a baby are often acutely aware of their biological clock. But the influence of the father's age could play a more vital role than they previously thought.,Health
149,150,"DR ELLIE CANNON: Today's reader is concerned about a terrible stomach ache, sickness and distressing digestive problems which could be one of several possible conditions.",Health
0,301,The Infowars conspiracy theorist was presented with text messages from his own cellphone that his lawyers appeared to have accidentally sent to lawyers for Sandy Hook parents.,Sports
1,302,Severe equipment and manpower problems could slow President Vladimir V. Putin’s mission as the war enters its sixth month.,Sports
2,303,"Administration officials say they are hoping China’s military exercises last only a few days, but they are discussing their options if the movements expand into something more.",Sports
3,304,"The lopsided bipartisan vote demonstrated broad support in the United States for one of the most significant expansions of the military alliance, amid Russia’s continued assault on Ukraine.",Sports
4,305,What was the prime minister of Hungary doing addressing a crowd of Republicans in Dallas?,Sports
5,306,"If it is given an additional $80 billion, the agency said, the money is expected to go toward efforts to crack down on wealthy tax evaders and to modernize its technology.",Sports
6,307,"At a hearing in the defamation case against the conspiracy theorist, the plaintiffs’ lawyer said he would turn over the materials to the committee unless the judge ordered him not to.",Sports
7,308,The third-term Democrat was the first openly gay woman elected to Congress. Now she is leading the effort to rally Republican support for legislation that would protect marriage equality nationwide.,Sports
8,309,"The designation will free up emergency funds and lift some bureaucratic hurdles, but many experts fear containment may no longer be possible.",Sports
9,310,"The Hungarian prime minister, whose anti-immigrant rhetoric and attacks on democratic norms have been widely rebuked, spoke at the Conservative Political Action Conference in Dallas.",Sports
10,311,Envoys from both countries gathered for another effort to restore the 2015 agreement to limit Tehran’s nuclear program. Expectations are low.,Sports
11,312,Tennessee voters will cast ballots in a three-way Democratic primary for governor and pick from a crowded field of Republicans seeking a Nashville-area House seat.,Sports
12,313,Antony J. Blinken also called the Turkish foreign minister and praised his efforts in helping get Russia to allow food shipments to leave Ukrainian ports.,Sports
13,314,"A host of new restaurants, hotels and entertainment venues in the nation’s capital are just now spreading their wings.",Sports
14,315,The referendum in a reliably Republican state shows which party has the most energy on the issue.,Sports
15,316,"Many users mocked the government for not taking military action to stop Nancy Pelosi’s Taiwan trip, saying it hadn’t lived up to its tough rhetoric.",Sports
16,317,"On the day of President Biden’s inauguration, John Eastman suggested looking for voting irregularities in Georgia — and asked for help in getting paid the $270,000 he had billed the Trump campaign.",Sports
17,318,"After a broad victory in a deep-red state, Democrats are vowing to elevate the fight over abortion rights in midterm races across the country.",Sports
18,319,Messages from the phones of top Trump administration officials at the Defense Department who were involved in the response to the Capitol riot appear to have been erased.,Sports
19,320,Lawmakers in both parties are eager to act after former President Donald J. Trump and his allies sought to exploit a 135-year-old law to overturn the 2020 election.,Sports
20,321,"Schmitt, having reinvented himself as a hard-line culture warrior, can now revel in his Senate nomination, while Greitens has met what appears to be a humiliating political end.",Sports
0,151,Emma Raducanu dug deep to battle past Colombian Camila Osorio into the quarter-finals of the Citi Open in a match played out during sweltering conditions in Washington.,Politics
1,152,Gibbs-White is highly rated by Forest boss Steve Cooper after they worked together in England 's U17 World Cup win. The club remains undeterred and will make another bid.,Politics
2,153,Sadio Mane has backed Bayern Munich to beat his former club Liverpool if the two European giants meet in the Champions league later this year.,Politics
3,154,David Moyes has been interested in the Ivory Coast International earlier in the window before switching his attention to Eintracht Frankfurt's Filip Kostic.,Politics
4,155,"Coady has been a mainstay at Molineux during the Premier League era, rarely missing a game, and has broken into the England squad thanks to that outstanding consistency.",Politics
5,156,Wolves have asked about a loan for Chelsea's Michy Batshuayi and remain in talks with Bordeaux for striker Hwang Ui-Jo after making an opening £2m bid.,Politics
6,157,"The Brighton defender completed a medical with the west London side on Thursday. Spanish star Cucurella, 24, is set to make the switch for an initial £55m, plus a potential £7m in bonuses.",Politics
7,158,"Manchester United's unsettled striker Cristiano Ronaldo may finally have a route away from Old Trafford, albeit a slightly left-field one.",Politics
8,159,Former England goalkeeper Rob Green has taken some stick on Twitter after predicting Manchester United would finish second in the Premier League next season.,Politics
9,160,"Former Nice and Lille boss Christophe Galtier was hired to replace Mauricio Pochettino in July after another disappointing Champions League exit the season before, and has laid down the law.",Politics
10,161,"Fulham have held talks with Roma over a potential deal for their 23-year-old Dutch winger, Justin Kluivert. As deal could be agreed for £8million in the comings days.",Politics
11,162,Puig was once a very highly-rated prospect after joining Barcelona's academy in 2013. He made his senior team debut in 2018 as a substitute in a 4-1 win in the Copa del Rey.,Politics
12,163,"Steve Cooper is already Forest's most popular manager for years, after steering the club from the bottom of the Championship when he took over, to promotion via the play-offs.",Politics
13,164,Liverpool have suffered a huge blow ahead of the new Premier League season after Ibrahima Konate revealed he will be  out for 'some time' due to a leg injury.,Politics
14,165,"All of this points to the race for the golden boot being one of the most fiercely competitive in years, with a number of candidates chasing the prize this coming season.",Politics
15,166,"DAVID COVERDALE: Adam Peaty is sitting upstairs in the Library of Birmingham, as good a place as any to have a quiet moment to reflect.",Politics
16,167,"COMMENT: For all the absorbing sport, strong crowds and atmosphere, how many of 6,500 competitors at theses Commonwealth Games can you name?",Politics
17,168,EXCLUSIVE BY MIKE  DICKSON: Wimbledon's plan for a historic £100million expansion faces its day of reckoning next month as local opposition becomes more concerted.,Politics
18,169,"ADRIAN KAJUMBA: After all planning, hype and build-up, the eagerly-anticipated opening day of the brand new Premier League arrived on August 15, 1992.",Politics
19,170,EXCLUSIVE: Arsenal star Kieran Tierney met Sportsmail columnist Chris Sutton at St Michael's Manor Hotel in St Albans for a highly anticipated chat. Reporter Kieran Gill listened in.,Politics
20,171,"MATT BARLOW: Antonio Conte warned his Tottenham players on the eve of the new season that it is not his job to keep them happy but the reverse, it is their job to impress him.",Politics
21,172,"Alexander-Arnold was a driving force in Liverpool's pursuit of four trophies last season. His position on Liverpool's right side is almost untouchable but, for England, it is an entirely different situation.",Politics
22,173,"What is your all-time Premier League XI? That is the question we posed to our columnist Chris Sutton, Football Editor Ian Ladyman and football reporter Matt Barlow.",Politics
23,174,Dele arrived at Everton on Lampard's first day as manager in January this year but his showings have been disappointing. Now Frank Lampard is hoping he will solve his striker crisis.,Politics
24,175,"Leeds will be without seven first-team players for Saturday's Premier League opener against Wolves, although they have been boosted by the return of Patrick Bamford to full fitness.",Politics
25,176,"MARTIN SAMUEL - CHIEF SPORTS WRITER: What began as a controlled, targeted process for Chelsea is quickly turning into a scattergun supermarket sweep.",Politics
26,177,Erik ten Hag must decide if Cristiano Ronaldo can be thrown into the starting line-up for Manchester United's opening game against Brighton at Old Trafford on Sunday.,Politics
27,178,EXCLUSIVE BY MATT HUGHES: Sportsmail revealed in June the FA's inquiry into Xhaka's bizarre yellow card for time-wasting last December was passed on to the National Crime Agency.,Politics
28,179,"Sportsmail's racing expert Robin Goodfellow delivers his tips for Friday's meetings at Brighton, Musselburgh, Thirsk, Haydock and Newmarket.",Politics
29,180,At times the sheer ferocity of this modern rivalry seems to weary both Klopp and indeed Guardiola. It must feel like standing in front a fire for nine months of every year.,Politics
30,181,"Joe Joyce will face Joseph Parker on 24 September at the AO Arena in Manchester. The fight will take place on BT Sport Box Office, promoted by Frank Warren for Queensberry Promotions.",Politics
31,182,Jason Roy's dreadful summer continued as he was out for a golden duck on Thursday in his first game of the Hundred against a London Spirit side led by Eoin Morgan.,Politics
32,183,"The former Manchester United star was originally due to face a number of allegations in January, however, proceedings were put back to Monday.",Politics
33,184,The Premier League returns with a bang on Friday night as Arsenal travel to Crystal Palace in the opening game of the season. Here's CHRIS SUTTON'S club-by-club guide.,Politics
34,185,"From Manchester City signing Erling Haaland for £51m, to Raheem Sterling joining Thomas Tuchel's side, Sportsmail's Ian Ladyman has rounded the top 10 transfer from the summer window.",Politics
35,186,"Dawn is breaking on a new campaign and what feels like another new era for Arsenal. On Friday night Mikel Arteta takes his side to Selhurst Park, with several crucial questions lingering overhead.",Politics
36,187,"MICAH RICHARDS: Before a ball is kicked, we asked the former England and Manchester City star to discuss the big talking points, from the title race to the impact of a mid-season World Cup.",Politics
37,188,The Spanish international who turns 33 at the end of this month was one of the first players the Barca coach called last December when he was trying to organise January arrivals.,Politics
38,189,Geraint Thomas' hopes of winning gold in the men's time trial at the Commonwealth Games were scuppered by an early crash on Thursday afternoon.,Politics
